   5.0118723e-02   5.4767580e-14   5.1498794e-16   1.3796544e-16   1.4053909e-18   3.3082744e-21
   5.8525743e-02   2.5398639e-10   2.6040325e-12   7.0514434e-13   8.4363864e-15   2.3190376e-17
   6.8342975e-02   1.9691057e-07   2.2715690e-09   6.2417996e-10   8.7892413e-12   2.8213025e-14
   7.9806969e-02   3.5303275e-05   4.7831932e-07   1.3407996e-07   2.2284952e-09   8.3532774e-12
   9.3193958e-02   1.8893804e-03   3.1876151e-05   9.1817111e-06   1.8083105e-07   7.9152592e-10
   1.0882651e-01   3.6735247e-02   8.3580615e-04   2.4984469e-04   5.8618267e-06   2.9962087e-08
   1.2708130e-01   2.9994358e-01   1.0260395e-02   3.2262072e-03   9.0828337e-05   5.4213492e-07
   1.4839818e-01   1.1344116e+00   6.7669842e-02   2.2796774e-02   7.7780053e-04   5.4212719e-06
   1.7329080e-01   2.0957486e+00   2.6685681e-01   9.8763634e-02   4.1392415e-03   3.3689973e-05
   2.0235896e-01   1.9049042e+00   6.8213884e-01   2.8700046e-01   1.5049795e-02   1.4303997e-04
   2.3630308e-01   8.1608590e-01   1.1969724e+00   5.9984005e-01   4.0356254e-02   4.4790367e-04
   2.7594106e-01   1.4893814e-01   1.4940531e+00   9.5032647e-01   8.4887513e-02   1.1001820e-03
   3.2222799e-01   9.7464166e-03   1.3453809e+00   1.1845750e+00   1.4719879e-01   2.2277780e-03
   3.7627919e-01   1.7584986e-04   8.6659607e-01   1.1887532e+00   2.1900412e-01   3.8704983e-03
   4.3939706e-01   5.9782075e-07   3.8592775e-01   9.6907369e-01   2.8869464e-01   5.9579965e-03
   5.1310244e-01   2.2380017e-10   1.1141340e-01   6.3803172e-01   3.4598571e-01   8.3380911e-03
   5.9917132e-01   4.3713842e-15   1.8821976e-02   3.3175717e-01   3.8483858e-01   1.0830139e-02
   6.9967758e-01   1.5901609e-21   1.5996451e-03   1.3060727e-01   4.0389691e-01   1.3273116e-02
   8.1704297e-01   2.6192525e-30   5.5133067e-05   3.6411586e-02   4.0527950e-01   1.5552633e-02
   9.5409548e-01   2.8191095e-42   5.7009383e-07   6.5130389e-03   3.9290122e-01   1.7606766e-02
   1.1141375e+00   1.4067938e-58   1.1656105e-09   6.4948306e-04   3.7108113e-01   1.9418337e-02
   1.3010252e+00   8.7829872e-81   2.6561282e-13   2.9668673e-05   3.4369028e-01   2.1001840e-02
   1.5192619e+00  4.9582503e-111   3.0751524e-18   4.7317307e-07   3.1378177e-01   2.2390550e-02
   1.7741061e+00  3.0369978e-152   6.1784500e-25   1.8137749e-09   2.8353909e-01   2.3626366e-02
   2.0716984e+00  2.0942708e-208   4.9669641e-34   1.0019500e-12   2.5438780e-01   2.4752963e-02
   2.4192094e+00  5.9933836e-285   2.1567261e-46   3.9635028e-17   2.2716434e-01   2.5811783e-02
   2.8250127e+00   0.0000000e+00   3.2915974e-63   4.3199319e-23   2.0228291e-01   2.6840092e-02
   3.2988863e+00   0.0000000e+00   4.2499080e-86   3.5229539e-31   1.7987512e-01   2.7870376e-02
   3.8522484e+00   0.0000000e+00  2.8790329e-117   3.6307598e-42   1.5989592e-01   2.8930508e-02
   4.4984327e+00   0.0000000e+00  9.9900185e-160   4.1805496e-57   1.4219890e-01   3.0044284e-02
   5.2530092e+00   0.0000000e+00  1.3932008e-217   1.9669669e-77   1.2658687e-01   3.1232101e-02
   6.1341600e+00   0.0000000e+00  1.9693090e-296  4.1519091e-105   1.1284423e-01   3.2511638e-02
   7.1631169e+00   0.0000000e+00   0.0000000e+00  8.3662116e-143   1.0075660e-01   3.3898458e-02
   8.3646732e+00   0.0000000e+00   0.0000000e+00  3.6549290e-194   9.0121817e-02   3.5406525e-02
   9.7677811e+00   0.0000000e+00   0.0000000e+00  3.7198641e-264   8.0755377e-02   3.7048596e-02
   1.1406249e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   7.2492510e-02   3.8836527e-02
   1.3319557e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.5188152e-02   4.0781468e-02
   1.5553808e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.8715832e-02   4.2893980e-02
   1.8162836e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.2965998e-02   4.5184057e-02
   2.1209509e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   4.7844153e-02   4.7661079e-02
   2.4767236e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   4.3268984e-02   5.0333675e-02
   2.8921745e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.9170617e-02   5.3209514e-02
   3.3773139e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.5489026e-02   5.6295010e-02
   3.9438316e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.2172634e-02   5.9594938e-02
   4.6053783e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.9177097e-02   6.3111975e-02
   5.3778941e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.6464257e-02   6.6846141e-02
   6.2799933e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.4001254e-02   7.0794172e-02
   7.3334126e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.1759768e-02   7.4948817e-02
   8.5635347e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.9715387e-02   7.9298095e-02
   1.0000000e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7847065e-02   8.3824542e-02
