   5.0118723e-02   1.0998318e-05   1.7096737e-08   1.1016684e-05   1.7171319e-08
   5.8525743e-02   1.6378523e-04   1.1422710e-06   1.6414664e-04   1.1488143e-06
   6.8342975e-02   1.3818480e-03   3.2082506e-05   1.3858627e-03   3.2322722e-05
   7.9806969e-02   7.3609201e-03   4.4679772e-04   7.3889579e-03   4.5114663e-04
   9.3193958e-02   2.7028592e-02   3.5267428e-03   2.7162904e-02   3.5710792e-03
   1.0882651e-01   7.3454278e-02   1.7580990e-02   7.3927714e-02   1.7864218e-02
   1.2708130e-01   1.5649330e-01   6.0403904e-02   1.5779246e-01   6.1638881e-02
   1.4839818e-01   2.7380026e-01   1.5345992e-01   2.7670323e-01   1.5739342e-01
   1.7329080e-01   4.0839343e-01   3.0501686e-01   4.1386568e-01   3.1466404e-01
   2.0235896e-01   5.3512736e-01   4.9605262e-01   5.4406934e-01   5.1500263e-01
   2.3630308e-01   6.3086609e-01   6.8373572e-01   6.4378537e-01   7.1434671e-01
   2.7594106e-01   6.8181730e-01   8.2056442e-01   6.9852935e-01   8.6171169e-01
   3.2222799e-01   6.8535323e-01   8.7453076e-01   7.0479318e-01   9.2011749e-01
   3.7627919e-01   6.4758626e-01   8.3866653e-01   6.6777414e-01   8.7801700e-01
   4.3939706e-01   5.7935953e-01   7.2864194e-01   5.9753731e-01   7.4932351e-01
   5.1310244e-01   4.9268940e-01   5.7369385e-01   5.0565039e-01   5.6643845e-01
   5.9917132e-01   3.9850371e-01   4.0654989e-01   4.0315129e-01   3.7068677e-01
   6.9967758e-01   3.0564057e-01   2.5539858e-01   2.9980452e-01   2.0162070e-01
   8.1704297e-01   2.2068450e-01   1.3865981e-01   2.0412587e-01   8.5351077e-02
   9.5409548e-01   1.4816796e-01   6.2604092e-02   1.2344469e-01   2.5410917e-02
   1.1141375e+00   9.0777503e-02   2.2236525e-02   6.3256677e-02   4.5660050e-03
   1.3010252e+00   4.9384427e-02   5.7465281e-03   2.5575463e-02   3.9408860e-04
   1.5192619e+00   2.2954382e-02   9.6936626e-04   7.3334629e-03   1.1642658e-05
   1.7741061e+00   8.6407473e-03   9.1910204e-05   1.2728602e-03   7.1330802e-08
   2.0716984e+00   2.4466950e-03   3.9895239e-06   1.0579285e-04   4.3243732e-11
   2.4192094e+00   4.7091042e-04   5.9870304e-08   2.9786140e-06   8.7086798e-16
   2.8250127e+00   5.3626948e-05   2.1164067e-10   1.7048135e-08   1.1652851e-22
   3.2988863e+00   2.9894079e-06   1.0437188e-13   9.3417549e-12   9.6632046e-33
   3.8522484e+00   6.2970529e-08   3.5133794e-18   1.6151913e-16   1.5053693e-47
   4.4984327e+00   3.5208483e-10   3.0446206e-24   1.7163656e-23   2.5490711e-69
   5.2530092e+00   3.2274471e-13   1.7963680e-32   1.0059776e-33  2.3655079e-101
   6.1341600e+00   2.5139655e-17   1.1764252e-43   9.3168134e-49  1.6642503e-148
   7.1631169e+00   6.7904686e-23   7.2073022e-59   7.2617981e-71  6.1386906e-218
   8.3646732e+00   1.8734995e-30   1.4160097e-79  2.1261081e-103  3.3413660e-320
   9.7677811e+00   9.9711173e-41  8.9692563e-108  2.7036108e-151   0.0000000e+00
   1.1406249e+01   1.0545177e-54  3.4571556e-146  7.9289451e-222   0.0000000e+00
   1.3319557e+01   9.9888155e-74  1.5640641e-198   0.0000000e+00   0.0000000e+00
   1.5553808e+01   1.2376071e-99  7.1433556e-270   0.0000000e+00   0.0000000e+00
   1.8162836e+01  6.2989573e-135   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.1209509e+01  5.0866647e-183   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.4767236e+01  1.4449205e-248   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.8921745e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   3.3773139e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   3.9438316e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   4.6053783e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   5.3778941e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   6.2799933e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   7.3334126e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   8.5635347e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   1.0000000e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
