   1.0000000e+00   1.0021511e-03   2.7000000e-03
   1.1513954e+00   1.4279621e-03   3.3358038e-03
   1.3257114e+00   1.9981766e-03   4.1213285e-03
   1.5264180e+00   2.7527205e-03   5.0918309e-03
   1.7575106e+00   3.7410157e-03   6.2908699e-03
   2.0235896e+00   5.0240832e-03   7.7722621e-03
   2.3299518e+00   6.6771152e-03   9.6024968e-03
   2.6826958e+00   8.7926185e-03   1.1863721e-02
   3.0888436e+00   1.1484262e-02   1.4657424e-02
   3.5564803e+00   1.4891589e-02   1.8108996e-02
   4.0949151e+00   1.9185784e-02   2.2373355e-02
   4.7148664e+00   2.4576744e-02   2.7641897e-02
   5.4286754e+00   3.1321751e-02   3.4151091e-02
   6.2505519e+00   3.9736053e-02   4.2193088e-02
   7.1968567e+00   5.0205942e-02   5.2128839e-02
   8.2864277e+00   6.3204626e-02   6.4404288e-02
   9.5409548e+00   7.9311917e-02   7.9570396e-02
   1.0985411e+01   9.9238148e-02   9.8307863e-02
   1.2648552e+01   1.2385370e-01   1.2145768e-01
   1.4563485e+01   1.5422516e-01   1.5005889e-01
   1.6768329e+01   1.9165974e-01   1.8539519e-01
   1.9306977e+01   2.3775987e-01   2.2905258e-01
   2.2229965e+01   2.9449014e-01   2.8299055e-01
   2.5595479e+01   3.6425973e-01   3.4962998e-01
   2.9470517e+01   4.4972989e-01   4.3196185e-01
   3.3932218e+01   5.5509557e-01   5.3368148e-01
   3.9069399e+01   6.8452915e-01   6.5935434e-01
   4.4984327e+01   8.4349056e-01   8.1462100e-01
   5.1794747e+01   1.0386828e+00   1.0064503e+00
   5.9636233e+01   1.2783368e+00   1.2434521e+00
   6.8664885e+01   1.5725625e+00   1.5362638e+00
   7.9060432e+01   1.9337800e+00   1.8980277e+00
   9.1029818e+01   2.3772519e+00   2.3449807e+00
   1.0481131e+02   2.9217378e+00   2.8971835e+00
   1.2067926e+02   3.5903010e+00   3.5794207e+00
   1.3894955e+02   4.4113023e+00   4.4223130e+00
   1.5998587e+02   5.4196249e+00   5.4636920e+00
   1.8420700e+02   6.6581835e+00   6.7502980e+00
   2.1209509e+02   8.1797855e+00   8.3398777e+00
   2.4420531e+02   1.0049426e+01   1.0303776e+01
   2.8117687e+02   1.2347115e+01   1.2730139e+01
   3.2374575e+02   1.5171374e+01   1.5727869e+01
   3.7275937e+02   1.8643534e+01   1.9431513e+01
   4.2919343e+02   2.2913061e+01   2.4007302e+01
   4.9417134e+02   2.8164106e+01   2.9660611e+01
   5.6898660e+02   3.4623616e+01   3.6645177e+01
   6.5512856e+02   4.2571340e+01   4.5274489e+01
   7.5431201e+02   5.2352194e+01   5.5935857e+01
   8.6851137e+02   6.4391555e+01   6.9107794e+01
   1.0000000e+03   7.9214174e+01   8.5381497e+01
