   1.0000000e+00  -2.2758622e+00  -1.8539670e+00  -1.5738400e+00
   1.1513954e+00  -2.2447457e+00  -1.8083124e+00  -1.5127236e+00
   1.3257114e+00  -2.2212786e+00  -1.7773238e+00  -1.4738835e+00
   1.5264180e+00  -2.2037892e+00  -1.7573449e+00  -1.4512155e+00
   1.7575106e+00  -2.1909847e+00  -1.7457109e+00  -1.4405598e+00
   2.0235896e+00  -2.1818557e+00  -1.7404341e+00  -1.4389728e+00
   2.3299518e+00  -2.1756077e+00  -1.7400022e+00  -1.4442999e+00
   2.6826958e+00  -2.1716113e+00  -1.7432464e+00  -1.4549152e+00
   3.0888436e+00  -2.1693660e+00  -1.7492515e+00  -1.4695597e+00
   3.5564803e+00  -2.1684723e+00  -1.7572944e+00  -1.4872369e+00
   4.0949151e+00  -2.1686112e+00  -1.7668002e+00  -1.5071446e+00
   4.7148664e+00  -2.1695278e+00  -1.7773105e+00  -1.5286291e+00
   5.4286754e+00  -2.1710183e+00  -1.7884594e+00  -1.5511532e+00
   6.2505519e+00  -2.1729208e+00  -1.7999558e+00  -1.5742741e+00
   7.1968567e+00  -2.1751066e+00  -1.8115694e+00  -1.5976271e+00
   8.2864277e+00  -2.1774741e+00  -1.8231194e+00  -1.6209128e+00
   9.5409548e+00  -2.1799437e+00  -1.8344661e+00  -1.6438881e+00
   1.0985411e+01  -2.1824536e+00  -1.8455028e+00  -1.6663576e+00
   1.2648552e+01  -2.1849562e+00  -1.8561506e+00  -1.6881675e+00
   1.4563485e+01  -2.1874154e+00  -1.8663531e+00  -1.7091994e+00
   1.6768329e+01  -2.1898047e+00  -1.8760722e+00  -1.7293658e+00
   1.9306977e+01  -2.1962619e+00  -1.8852845e+00  -1.7486052e+00
   2.2229965e+01  -2.1938146e+00  -1.8939787e+00  -1.7668783e+00
   2.5595479e+01  -2.1959449e+00  -1.9105666e+00  -1.7987029e+00
   2.9470517e+01  -2.1979573e+00  -1.9086205e+00  -1.7980689e+00
   3.3932218e+01  -2.1998490e+00  -1.9159219e+00  -1.8137113e+00
   3.9069399e+01  -2.2016199e+00  -1.9227212e+00  -1.8283468e+00
   4.4984327e+01  -2.2032712e+00  -1.9290380e+00  -1.8420044e+00
   5.1794747e+01  -2.2048057e+00  -1.9348938e+00  -1.8547191e+00
   5.9636233e+01  -2.2062270e+00  -1.9403118e+00  -1.8665309e+00
   6.8664885e+01  -2.2075391e+00  -1.9453161e+00  -1.8774824e+00
   7.9060432e+01  -2.2087466e+00  -1.9499307e+00  -1.8876184e+00
   9.1029818e+01  -2.2098539e+00  -1.9541796e+00  -1.8969843e+00
   1.0481131e+02  -2.2108654e+00  -1.9580862e+00  -1.9056256e+00
   1.2067926e+02  -2.2117852e+00  -1.9616731e+00  -1.9135870e+00
   1.3894955e+02  -2.2126171e+00  -1.9649618e+00  -1.9209122e+00
   1.5998587e+02  -2.2133644e+00  -1.9679727e+00  -1.9276432e+00
   1.8420700e+02  -2.2140295e+00  -1.9707249e+00  -1.9338202e+00
   2.1209509e+02  -2.2146142e+00  -1.9732361e+00  -1.9394812e+00
   2.4420531e+02  -2.2151195e+00  -1.9755224e+00  -1.9446620e+00
   2.8117687e+02  -2.2155452e+00  -1.9775985e+00  -1.9493956e+00
   3.2374575e+02  -2.2158899e+00  -1.9794774e+00  -1.9537128e+00
   3.7275937e+02  -2.2161507e+00  -1.9811703e+00  -1.9576413e+00
   4.2919343e+02  -2.2163233e+00  -1.9826865e+00  -1.9612063e+00
   4.9417134e+02  -2.2164011e+00  -1.9840335e+00  -1.9644297e+00
   5.6898660e+02  -2.2163755e+00  -1.9852165e+00  -1.9673304e+00
   6.5512856e+02  -2.2162350e+00  -1.9862380e+00  -1.9699239e+00
   7.5431201e+02  -2.2159650e+00  -1.9870981e+00  -1.9722220e+00
   8.6851137e+02  -2.2155469e+00  -1.9877936e+00  -1.9742326e+00
