   3.0000000e+00   3.3161274e-01   1.9297792e-01   6.1214155e-01
   3.3444444e+00   3.4092140e-01   2.0538229e-01   5.9685082e-01
   3.6888889e+00   3.4103863e-01   2.1353044e-01   5.6456671e-01
   4.0333333e+00   3.3590825e-01   2.1823788e-01   5.2901221e-01
   4.3777778e+00   3.2576404e-01   2.1937566e-01   4.9027975e-01
   4.7222222e+00   3.0910690e-01   2.1609547e-01   4.4488956e-01
   5.0666667e+00   2.8805375e-01   2.0914818e-01   3.9724437e-01
   5.4111111e+00   2.6351009e-01   1.9885941e-01   3.4861771e-01
   5.7555556e+00   2.3684438e-01   1.8586133e-01   3.0092838e-01
   6.1000000e+00   2.1237814e-01   1.7276177e-01   2.6023699e-01
