   1.0000000e+16   1.7402734e-15   3.9252525e-15   1.6531318e-15
   1.3257114e+16   2.0758088e-15   2.6417295e-15   9.9248741e-16
   1.7575106e+16   2.0451860e-15   1.7043373e-15   5.9286250e-16
   2.3299518e+16   1.7462641e-15   1.0672382e-15   3.5334121e-16
   3.0888436e+16   1.3404869e-15   6.5470667e-16   2.1052110e-16
   4.0949151e+16   9.5136134e-16   3.9620444e-16   1.2555821e-16
   5.4286754e+16   6.3766744e-16   2.3773801e-16   7.5029853e-17
   7.1968567e+16   4.1020295e-16   1.4197279e-16   4.4947906e-17
   9.5409548e+16   2.5634489e-16   8.4606863e-17   2.7003019e-17
   1.2648552e+17   1.5704202e-16   5.0410954e-17   1.6270749e-17
   1.6768329e+17   9.4952406e-17   3.0069872e-17   9.8334497e-18
   2.2229965e+17   5.6945337e-17   1.7972281e-17   5.9604739e-18
   2.9470517e+17   3.3997749e-17   1.0769028e-17   3.6231024e-18
   3.9069399e+17   2.0258929e-17   6.4712065e-18   2.2081976e-18
   5.1794747e+17   1.2071401e-17   3.9002197e-18   1.3491997e-18
   6.8664885e+17   7.2015190e-18   2.3577353e-18   8.2625630e-19
   9.1029818e+17   4.3050677e-18   1.4294667e-18   5.0707475e-19
   1.2067926e+18   2.5801927e-18   8.6910626e-19   3.1179407e-19
   1.5998587e+18   1.5508407e-18   5.2981362e-19   1.9205497e-19
   2.1209509e+18   9.3493115e-19   3.2377830e-19   1.1848748e-19
   2.8117687e+18   5.6531824e-19   1.9831967e-19   7.3204986e-20
   3.7275937e+18   3.4282759e-19   1.2172948e-19   4.5286355e-20
   4.9417134e+18   2.0848419e-19   7.4861388e-20   2.8047543e-20
   6.5512856e+18   1.2712054e-19   4.6118547e-20   1.7388830e-20
   8.6851137e+18   7.7700910e-20   2.8456187e-20   1.0790611e-20
   1.1513954e+19   4.7601771e-20   1.7583029e-20   6.7016008e-21
   1.5264180e+19   2.9223034e-20   1.0878379e-20   4.1651326e-21
   2.0235896e+19   1.7974347e-20   6.7379977e-21   2.5903696e-21
   2.6826958e+19   1.1074660e-20   4.1777401e-21   1.6119285e-21
   3.5564803e+19   6.8341612e-21   2.5926768e-21   1.0035818e-21
   4.7148664e+19   4.2232866e-21   1.6103073e-21   6.2511161e-22
   6.2505519e+19   2.6131505e-21   1.0008842e-21   3.8952709e-22
   8.2864277e+19   1.6187134e-21   6.2249918e-22   2.4281366e-22
   1.0985411e+20   1.0037261e-21   3.8738465e-22   1.5140705e-22
   1.4563485e+20   6.2294997e-22   2.4119416e-22   9.4436710e-23
   1.9306977e+20   3.8693779e-22   1.5024048e-22   5.8917364e-23
   2.5595479e+20   2.4051423e-22   9.3622604e-23   3.6765548e-23
   3.3932218e+20   1.4959516e-22   5.8361742e-23   2.2946847e-23
   4.4984327e+20   9.3098044e-23   3.6392505e-23   1.4324500e-23
   5.9636233e+20   5.7967174e-23   2.2699493e-23   8.9433805e-24
   7.9060432e+20   3.6109174e-23   1.4162079e-23   5.5844718e-24
   1.0481131e+21   2.2502192e-23   8.8375553e-24   3.4874971e-24
   1.3894955e+21   1.4027631e-23   5.5159544e-24   2.1781661e-24
   1.8420700e+21   8.7473926e-24   3.4433637e-24   1.3605302e-24
   2.4420531e+21   5.4562242e-24   2.1498604e-24   8.4988618e-25
   3.2374575e+21   3.4041708e-24   1.3424409e-24   5.3093895e-25
   4.2919343e+21   2.1243390e-24   8.3836073e-25   3.3170803e-25
   5.6898660e+21   1.3259246e-24   5.2361440e-25   2.0724866e-25
   7.5431201e+21   8.2772637e-25   3.2706336e-25   1.2949380e-25
   1.0000000e+22   5.1679609e-25   2.0430887e-25   8.0914279e-26
