   5.0118723e-02   7.8282628e-06
   5.8525743e-02   1.1667542e-04
   6.8342975e-02   9.8551514e-04
   7.9806969e-02   5.2579293e-03
   9.3193958e-02   1.9347853e-02
   1.0882651e-01   5.2733935e-02
   1.2708130e-01   1.1279557e-01
   1.4839818e-01   1.9841752e-01
   1.7329080e-01   2.9814615e-01
   2.0235896e-01   3.9461815e-01
   2.3630308e-01   4.7164512e-01
   2.7594106e-01   5.1936299e-01
   3.2222799e-01   5.3554582e-01
   3.7627919e-01   5.2394729e-01
   4.3939706e-01   4.9151805e-01
   5.1310244e-01   4.4592001e-01
   5.9917132e-01   3.9393408e-01
   6.9967758e-01   3.4075249e-01
   8.1704297e-01   2.8988863e-01
   9.5409548e-01   2.4341437e-01
   1.1141375e+00   2.0231225e-01
   1.3010252e+00   1.6682013e-01
   1.5192619e+00   1.3671427e-01
   1.7741061e+00   1.1151817e-01
   2.0716984e+00   9.0644442e-02
   2.4192094e+00   7.3484095e-02
   2.8250127e+00   5.9458130e-02
   3.2988863e+00   4.8043746e-02
   3.8522484e+00   3.8784527e-02
   4.4984327e+00   3.1291162e-02
   5.2530092e+00   2.5237009e-02
   6.1341600e+00   2.0351270e-02
   7.1631169e+00   1.6411400e-02
   8.3646732e+00   1.3235686e-02
   9.7677811e+00   1.0676456e-02
   1.1406249e+01   8.6141073e-03
   1.3319557e+01   6.9520172e-03
   1.5553808e+01   5.6122562e-03
   1.8162836e+01   4.5320459e-03
   2.1209509e+01   3.6608496e-03
   2.4767236e+01   2.9580008e-03
   2.8921745e+01   2.3907804e-03
   3.3773139e+01   1.9328628e-03
   3.9438316e+01   1.5630627e-03
   4.6053783e+01   1.2643267e-03
   5.3778941e+01   1.0229234e-03
   6.2799933e+01   8.2779165e-04
   7.3334126e+01   6.7001788e-04
   8.5635347e+01   5.4241624e-04
   1.0000000e+02   4.3919121e-04
