5.58  0.05571  0.00389
5.64  0.07861  0.00656
5.92  0.00023  0.00270
5.77  0.03624  0.00277
5.81  0.03408  0.00354
5.66  0.08981  0.01269
5.74  0.03886  0.00291
5.87  0.01638  0.00163
5.72  0.02900  0.00170
5.62  0.08822  0.00235
6.10 -0.00050  0.00098
5.55  0.05837  0.00188
5.83  0.04615  0.00212
6.25  0.00375  0.00046
6.10  0.01647  0.00048
5.90  0.01276  0.00235
5.77  0.04583  0.00143
5.73  0.04880  0.00256
5.71  0.03004  0.00280
5.66  0.05844  0.01797
5.85  0.06065  0.00347
5.55  0.10153  0.00550
6.08 -0.00362  0.00193
5.93  0.03049  0.00168
5.77  0.04992  0.01944
5.92  0.02053  0.01128
5.77 -0.00511  0.00584
5.97  0.03920  0.01114
5.82 -0.03234  0.01148
